"arv";"hi1";"hi2";"xvisc1";"xvisc2";"dap1";"dap2";"ht1";"ht2";"disc1";"disc2";"dmte1";"dmte2";"vmte"
9;1,3;2;0,027143361;0,014953981;17,42;17,42;26,9;26,9;16,46;16,57;16,3141876054596;16,0614055732126;0,0143487599322453
9;2;3;0,014953981;0,020860175;17,42;17,42;26,9;26,9;16,57;15,95;16,0614055732126;15,6125664140691;0,0196912005718625
9;3;4;0,020860175;0,019100883;17,42;17,42;26,9;26,9;15,95;15,42;15,6125664140691;15,2455810077596;0,0186474965484825
9;4;5;0,019100883;0,018598229;17,42;17,42;26,9;26,9;15,42;14,94;15,2455810077596;14,824805871604;0,0177958105580996
9;5;6;0,018598229;0,018095574;17,42;17,42;26,9;26,9;14,94;14,9;14,824805871604;14,47579912757;0,0168122633309175
9;6;7;0,018095574;0,016713273;17,42;17,42;26,9;26,9;14,9;14,05;14,47579912757;14,0357856390793;0,0160204960998453
9;7;9;0,016713273;0,030661944;17,42;17,42;26,9;26,9;14,05;13,33;14,0357856390793;13,2108939502343;0,0292360036547792
9;9;11;0,030661944;0,026766369;17,42;17,42;26,9;26,9;13,33;12,47;13,2108939502343;12,3507702935794;0,0259107036852786
9;11;14;0,026766369;0,03355221;17,42;17,42;26,9;26,9;12,47;11,52;12,3507702935794;10,8904680427634;0,0318764492279778
11;1,3;2;0,019603538;0,012063716;15,33;15,33;26,5;26,5;14,02;13,47;14,3838831247091;14,1896771341841;0,0111530616764016
11;2;3;0,012063716;0,016084954;15,33;15,33;26,5;26,5;13,47;13,18;14,1896771341841;13,7891805291474;0,0153688611859905
11;3;4;0,016084954;0,013320353;15,33;15,33;26,5;26,5;13,18;13,09;13,7891805291474;13,4892697802591;0,0145442729873091
11;4;5;0,013320353;0,013069025;15,33;15,33;26,5;26,5;13,09;12,5;13,4892697802591;13,0854276653475;0,0139299535758828
11;5;6;0,013069025;0,011435397;15,33;15,33;26,5;26,5;12,5;12,35;13,0854276653475;12,8090814035989;0,0130944575473304
11;6;7;0,011435397;0,011561061;15,33;15,33;26,5;26,5;12,35;11,83;12,8090814035989;12,3890075074698;0,0125406367116438
11;7;9;0,011561061;0,020734512;15,33;15,33;26,5;26,5;11,83;10,93;12,3890075074698;11,6439062993593;0,022773804703763
11;9;12;0,020734512;0,026389378;15,33;15,33;26,5;26,5;10,93;9,88;11,6439062993593;10,4603594825777;0,0292663039168876
11;12;16;0,026389378;0,025886723;15,33;15,33;26,5;26,5;9,88;7,87;10,4603594825777;8,48036828716809;0,0288757294443496
11;16;20;0,025886723;0,015205308;15,33;15,33;26,5;26,5;7,87;5,08;8,48036828716809;6,09592556876788;0,0169965195065164
12;1,3;2;0,015079645;0,008922123;12,57;12,57;23;23;11,83;11,42;11,7151845128422;11,4950022418161;0,00737607212219855
12;2;3;0,008922123;0,010681415;12,57;12,57;23;23;11,42;11,2;11,4950022418161;11,1129993708827;0,0100325938878797
12;3;4;0,010681415;0,011309734;12,57;12,57;23;23;11,2;10,91;11,1129993708827;10,7819514038871;0,00939276471079769
12;4;5;0,011309734;0,008670796;12,57;12,57;23;23;10,91;10,89;10,7819514038871;10,4179906870868;0,00883628088827042
12;5;6;0,008670796;0,008168141;12,57;12,57;23;23;10,89;10,52;10,4179906870868;10,0811353585829;0,0082404632638891
12;6;9;0,008168141;0,022242476;12,57;12,57;23;23;10,52;9,34;10,0811353585829;8,96004516218914;0,0214044420846644
12;9;13;0,022242476;0,022242476;12,57;12,57;23;23;9,34;7,74;8,96004516218914;7,17768229351042;0,020726167379601
12;13;18;0,022242476;0,013697344;12,57;12,57;23;23;7,74;3,73;7,17768229351042;4,39159154639628;0,0135930761094682
13;0,7;1,3;0,02236814;0,019226547;22;22;27,7;27,7;20,6;20,6;21,1800590928496;20,5308155285079;0,0204312372712948
13;1,3;4;0,019226547;0,032169909;22;22;27,7;27,7;20,6;19,66;20,5308155285079;19,0232840336284;0,0829619417812057
13;4;5;0,032169909;0,028023006;22;22;27,7;27,7;19,66;18,53;19,0232840336284;18,585354904181;0,0277019950778811
13;5;6;0,028023006;0,026389378;22;22;27,7;27,7;18,53;18,15;18,585354904181;18,0508965203992;0,0264299865074766
13;6;7;0,026389378;0,02475575;22;22;27,7;27,7;18,15;17,69;18,0508965203992;17,5958010408629;0,0249147213241439
13;7;8;0,02475575;0,023876104;22;22;27,7;27,7;17,69;17,01;17,5958010408629;17,1031559772744;0,0236497759204477
13;8;10;0,023876104;0,043605306;22;22;27,7;27,7;17,01;16,1;17,1031559772744;16,0356285659629;0,0433210877036111
13;10;12;0,043605306;0,037447784;22;22;27,7;27,7;16,1;14,25;16,0356285659629;14,9260887161425;0,0378143173110316
13;12;15;0,037447784;0,046872562;22;22;27,7;27,7;14,25;12,98;14,9260887161425;13,0385752806674;0,0463189994718251
13;15;19;0,046872562;0,044484952;22;22;27,7;27,7;12,98;9,96;13,0385752806674;10,0624867235916;0,0425246992960231
13;19;24;0,044484952;0,026892033;22;22;27,7;27,7;9,96;5,98;10,0624867235916;5,55796165673285;0,0251111424441396
14;1,3;2;0,033929201;0,013446017;18,4;18,4;24,2;24,2;16,97;16,69;17,0566887262396;16,6272596682803;0,0156440960118391
14;2;3;0,013446017;0,021614157;18,4;18,4;24,2;24,2;16,69;15,89;16,6272596682803;16,0950681153298;0,0209955969058808
14;3;6;0,021614157;0,053532739;18,4;18,4;24,2;24,2;15,89;13,67;16,0950681153298;14,4990023995614;0,0550485839962701
14;6;9;0,053532739;0,042097342;18,4;18,4;24,2;24,2;13,67;12,52;14,4990023995614;13,0720564234012;0,0451290737681629
14;9;13;0,042097342;0,040715041;18,4;18,4;24,2;24,2;12,52;10,4;13,0720564234012;10,5844733753309;0,0441916532725736
14;13;20;0,040715041;0,034808847;18,4;18,4;24,2;24,2;10,4;5,08;10,5844733753309;5,21647736349725;0,0370069236980947
15;1,3;2;0,045741589;0,026892033;23,52;23,52;27,8;27,8;22;20,58;21,9169789316729;21,4432667479786;0,0258898866655354
15;2;3;0,026892033;0,04033805;23,52;23,52;27,8;27,8;20,58;20,01;21,4432667479786;20,8430176036044;0,0350697564822816
15;3;4;0,04033805;0,032295572;23,52;23,52;27,8;27,8;20,01;19,07;20,8430176036044;20,2268673184817;0,033219016436282
15;4;6;0,032295572;0,029028316;23,52;23,52;27,8;27,8;19,07;18,98;20,2268673184817;19,1735685024858;0,0615463824011644
15;6;7;0,029028316;0,028399998;23,52;23,52;27,8;27,8;18,98;18,84;19,1735685024858;18,7238433599979;0,0281006233034955
15;7;9;0,028399998;0,051270792;23,52;23,52;27,8;27,8;18,84;17,39;18,7238433599979;17,6764797030306;0,0519812384954144
15;9;11;0,051270792;0,044233625;23,52;23,52;27,8;27,8;17,39;16,03;17,6764797030306;16,4898666290742;0,045429519450319
15;11;14;0,044233625;0,057176986;23,52;23,52;27,8;27,8;16,03;14,84;16,4898666290742;14,5493403415487;0,0568361366036653
15;14;18;0,057176986;0,043856633;23,52;23,52;27,8;27,8;14,84;12,48;14,5493403415487;11,5565526786435;0,0542789123637914
15;18;24;0,043856633;0,049134509;23,52;23,52;27,8;27,8;12,48;5,59;11,5565526786435;5,95446122324587;0,038283359859897
16;1,3;2;0,025886723;0,017090264;17,85;17,85;26,8;26,8;16,4;16,02;16,7019095935057;16,4283711291271;0,0150368763717405
16;2;3;0,017090264;0,016713273;17,85;17,85;26,8;26,8;16,02;15,58;16,4283711291271;15,9661941620052;0,020595373780392
16;3;4;0,016713273;0,017718583;17,85;17,85;26,8;26,8;15,58;15,49;15,9661941620052;15,5755322761285;0,0194965531327625
16;4;5;0,017718583;0,017592919;17,85;17,85;26,8;26,8;15,49;14,89;15,5755322761285;15,1536710839552;0,0185680736666075
16;5;6;0,017592919;0,015707963;17,85;17,85;26,8;26,8;14,89;14,53;15,1536710839552;14,7760876566257;0,0175615455484056
16;6;7;0,015707963;0,018472565;17,85;17,85;26,8;26,8;14,53;13,83;14,7760876566257;14,3350892569078;0,0166856400047179
16;7;9;0,018472565;0,02915398;17,85;17,85;26,8;26,8;13,83;13,06;14,3350892569078;13,4858950147413;0,0304658602460906
